index,x,y,z,HoldTime,GimblePitch
1,3.8,2.5,0.5,0.0,
2,3.65,3.1,0.53,0.0,
3,3.24,3.57,0.56,0.0,
4,2.66,3.79,0.59,0.0,
5,2.04,3.72,0.62,0.0,
6,1.53,3.36,0.65,0.0,
7,1.24,2.81,0.68,0.0,
8,1.24,2.19,0.71,0.0,
9,1.53,1.64,0.74,0.0,
10,2.04,1.28,0.76,0.0,
11,2.66,1.21,0.79,0.0,
12,3.24,1.43,0.82,0.0,
13,3.65,1.9,0.85,0.0,
14,3.8,2.5,0.88,0.0,
15,3.65,3.1,0.91,0.0,
16,3.24,3.57,0.94,0.0,
17,2.66,3.79,0.97,0.0,
18,2.04,3.72,1.0,0.0,
19,1.53,3.36,1.03,0.0,
20,1.24,2.81,1.06,0.0,
21,1.24,2.19,1.09,0.0,
22,1.53,1.64,1.12,0.0,
23,2.04,1.28,1.15,0.0,
24,2.66,1.21,1.18,0.0,
25,3.24,1.43,1.21,0.0,
26,3.65,1.9,1.23,0.0,
27,3.8,2.5,1.26,0.0,
28,3.65,3.1,1.29,0.0,
29,3.24,3.57,1.32,0.0,
30,2.66,3.79,1.35,0.0,
31,2.04,3.72,1.38,0.0,
32,1.53,3.36,1.41,0.0,
33,1.24,2.81,1.44,0.0,
34,1.24,2.19,1.47,0.0,
35,1.53,1.64,1.5,0.0,
36,2.04,1.28,1.53,0.0,
37,2.66,1.21,1.56,0.0,
38,3.24,1.43,1.59,0.0,
