index,x,y,z,HoldTime,GimblePitch
1,3.61,1.92,1.0,0.0,
2,4.07,1.92,1.0,0.0,
3,4.07,2.38,1.0,0.0,
4,3.15,2.38,1.0,0.0,
5,3.15,1.46,1.0,0.0,
6,4.53,1.46,1.0,0.0,
7,4.53,2.84,1.0,0.0,
8,2.69,2.84,1.0,0.0,
9,2.69,1.0,1.0,0.0,
10,4.99,1.0,1.0,0.0,
11,4.99,3.3,1.0,0.0,
12,2.23,3.3,1.0,0.0,
13,2.23,0.54,1.0,0.0,
14,4.99,0.54,1.0,0.0,
15,4.99,0.54,1.2,0.0,
16,2.23,0.54,1.2,0.0,
17,2.23,3.3,1.2,0.0,
18,4.99,3.3,1.2,0.0,
19,4.99,1.0,1.2,0.0,
20,2.69,1.0,1.2,0.0,
21,2.69,2.84,1.2,0.0,
22,4.53,2.84,1.2,0.0,
23,4.53,1.46,1.2,0.0,
24,3.15,1.46,1.2,0.0,
25,3.15,2.38,1.2,0.0,
26,4.07,2.38,1.2,0.0,
27,4.07,1.92,1.2,0.0,
28,3.61,1.92,1.0,0.0,
29,3.61,1.92,1.4,0.0,
30,4.07,1.92,1.4,0.0,
31,4.07,2.38,1.4,0.0,
32,3.15,2.38,1.4,0.0,
33,3.15,1.46,1.4,0.0,
34,4.53,1.46,1.4,0.0,
35,4.53,2.84,1.4,0.0,
36,2.69,2.84,1.4,0.0,
37,2.69,1.0,1.4,0.0,
38,4.99,1.0,1.4,0.0,
39,4.99,3.3,1.4,0.0,
40,2.23,3.3,1.4,0.0,
41,2.23,0.54,1.4,0.0,
42,4.99,0.54,1.4,0.0,
43,4.99,0.54,1.6,0.0,
44,2.23,0.54,1.6,0.0,
45,2.23,3.3,1.6,0.0,
46,4.99,3.3,1.6,0.0,
47,4.99,1.0,1.6,0.0,
48,2.69,1.0,1.6,0.0,
49,2.69,2.84,1.6,0.0,
50,4.53,2.84,1.6,0.0,
51,4.53,1.46,1.6,0.0,
52,3.15,1.46,1.6,0.0,
53,3.15,2.38,1.6,0.0,
54,4.07,2.38,1.6,0.0,
55,4.07,1.92,1.6,0.0,
56,3.61,1.92,1.6,0.0,
